Timestamp,Text,Label,Confidence
2025-10-23T10:27:21.077640,So disappointed in wwe summerslam! I want to see john cena wins his 16th title,negative,0.9997941851615906
2025-10-23T10:27:21.152227,That sucks if you have to take the SATs tomorrow,negative,0.9997641444206238
2025-10-23T10:27:21.207408,Amy Schumer sat down with The Hollywood Reporter and opened up about the sexist remarks and unnecessary criticism she's faced since,negative,0.9998050332069397
2025-10-23T10:27:21.268603,"@user how the hell does every one else get to keep their religious and 1st amnt rights, except Christians!!! This is just wrong!!!""",negative,0.9997671246528625
2025-10-23T10:27:21.311141,"Thanks manager for putting me on the schedule for Sunday""",neutral,0.6526543498039246
2025-10-23T10:27:21.367711,Amazon prime is literally a lie....I ordered a book LAST MONDAY &amp; it still isn't here. do better @user,negative,0.9997900128364563
2025-10-23T10:27:21.428447,Who the hell moshes at Matt and Kim?? Next time watch out for my face\u002c mofos! My cheekbones better not be purple tomorrow. @user,negative,0.9997628331184387
2025-10-23T10:27:21.506196,Mario Williams is catching hell! He will be Exposed on Sunday... Not like Buffalo don't see him 4 who he is Already!,negative,0.9997710585594177
2025-10-23T10:27:21.619902,"""Kris Bryant hurt, Joe Maddon ejected in today's Cubs game, and it's only the 6th inning.",negative,0.999811589717865
2025-10-23T10:27:21.770319,My mom's over here tryna tell me that we're taking the CAHSEE tomorrow ._. Nigga it's only the second month of school.. #SlowYourRoll,negative,0.9997898936271667
2025-10-23T10:27:22.056382,ECHO: Sex offender is warned he may face jail over offences #Dorset,negative,0.9997922778129578
2025-10-23T10:27:22.218081,"Your inspirational quotes on twitter/Feb never really got to me. But oh damn ur pics of them on IG have truly inspired me. #idiots""",negative,0.9997943043708801
2025-10-23T10:27:22.356642,Q_Q Today was the day that Naruto shippuden: UNS4 was suppose to come out. WHYYYYYYY DID THEY PUSH IT ALL THE WAY TO JAN???? HELLO,negative,0.9998015761375427
2025-10-23T10:27:22.411425,@user I\u2019m sick with something ill be at school on Monday though,negative,0.9997757077217102
2025-10-23T10:27:22.467377,"@user Also, his anger against Hindus are justified but couldn't get why he was so anti Islam..may be he was just fed up of religions""",negative,0.9997455477714539
2025-10-23T10:27:22.518788,"""If you put one over the plate he's gonna fuck you up  Called it, Kris Bryant with his 21st""",negative,0.9997801184654236
2025-10-23T10:27:22.597854,"""\""""Hey\u002c you\u2019re missing Beauty and the Beast\u002c Vampire Diaries & Grey\u2019s Anatomy right now on TV. Saturday is Merlin\"""" - @user #sisterlife""",negative,0.9998084902763367
2025-10-23T10:27:22.653311,I noticed all the Huddlestone haters were conspicuous by their absence yesterday\u002c particularly when he assisted Bale for the 1st goal #THFC,negative,0.9998112320899963
2025-10-23T10:27:22.715355,Yakub death may be unfortunate bt we shud respect SC's decision n not vitiate atmosphere in the name of religion #YakubToHang #YakubVerdict,negative,0.9997121691703796
2025-10-23T10:27:22.766264,"The pics were taken on a 2004 Nokia, and it's really blurry and may induce cataracts. Just a heads up.",negative,0.9997945427894592
2025-10-23T10:27:22.820934,"""Wrap-up: Broncos 34, Saints 14:  Thoughts on the New Orleans Saints' 34-14 loss to the Denver Broncos on Sunday ...",negative,0.9998182654380798
2025-10-23T10:27:22.877928,"@user Hi, I have a sneaking suspicion Barack Obama and Sarah Palin may be part of the DKEU. Can you find out, please?",negative,0.9997963309288025
2025-10-23T10:27:22.923232,The verse of Kendrick Lamar on Black Friday.. Listen to that shit with a notebook,negative,0.999774158000946
2025-10-23T10:27:22.981970,"""Oomf is gay. He may not know it yet, but I do lol""",negative,0.9997990727424622
